1,23:12:01.055333 IP 172.28.0.20.39833 > 172.28.0.10.5001: UDP, length 61
2,23:12:01.061831 IP 172.28.0.10.5001 > 172.28.0.20.39833: UDP, length 12
3,23:12:02.770269 IP 172.28.0.20.59881 > 172.28.0.10.5001: UDP, length 61
4,23:12:02.776372 IP 172.28.0.10.5001 > 172.28.0.20.59881: UDP, length 12
5,23:12:04.482798 IP 172.28.0.20.38183 > 172.28.0.10.5001: UDP, length 61
6,23:12:04.488882 IP 172.28.0.10.5001 > 172.28.0.20.38183: UDP, length 12
7,23:12:06.190635 IP 172.28.0.20.50888 > 172.28.0.10.5001: UDP, length 61
8,23:12:06.197051 IP 172.28.0.10.5001 > 172.28.0.20.50888: UDP, length 12
9,23:12:07.911634 IP 172.28.0.20.58786 > 172.28.0.10.5001: UDP, length 61
10,23:12:07.917491 IP 172.28.0.10.5001 > 172.28.0.20.58786: UDP, length 12
11,23:12:09.620626 IP 172.28.0.20.59767 > 172.28.0.10.5001: UDP, length 61
12,23:12:09.626822 IP 172.28.0.10.5001 > 172.28.0.20.59767: UDP, length 12
13,23:12:11.332758 IP 172.28.0.20.58401 > 172.28.0.10.5001: UDP, length 61
14,23:12:11.338887 IP 172.28.0.10.5001 > 172.28.0.20.58401: UDP, length 12
15,23:12:13.041936 IP 172.28.0.20.42358 > 172.28.0.10.5001: UDP, length 61
16,23:12:13.047883 IP 172.28.0.10.5001 > 172.28.0.20.42358: UDP, length 12
17,23:12:14.756925 IP 172.28.0.20.51293 > 172.28.0.10.5001: UDP, length 61
18,23:12:14.763069 IP 172.28.0.10.5001 > 172.28.0.20.51293: UDP, length 12
19,23:12:16.471197 IP 172.28.0.20.48823 > 172.28.0.10.5001: UDP, length 61
20,23:12:16.477001 IP 172.28.0.10.5001 > 172.28.0.20.48823: UDP, length 12
21,23:12:18.190342 IP 172.28.0.20.42984 > 172.28.0.10.5001: UDP, length 61
22,23:12:18.196075 IP 172.28.0.10.5001 > 172.28.0.20.42984: UDP, length 12
23,23:12:19.936567 IP 172.28.0.20.35906 > 172.28.0.10.5001: UDP, length 61
24,23:12:19.942427 IP 172.28.0.10.5001 > 172.28.0.20.35906: UDP, length 12
25,23:12:21.649552 IP 172.28.0.20.54863 > 172.28.0.10.5001: UDP, length 61
26,23:12:21.657883 IP 172.28.0.10.5001 > 172.28.0.20.54863: UDP, length 12
27,23:12:23.369219 IP 172.28.0.20.52209 > 172.28.0.10.5001: UDP, length 61
28,23:12:23.375066 IP 172.28.0.10.5001 > 172.28.0.20.52209: UDP, length 12
29,23:12:25.084891 IP 172.28.0.20.44720 > 172.28.0.10.5001: UDP, length 61
30,23:12:25.090980 IP 172.28.0.10.5001 > 172.28.0.20.44720: UDP, length 12
31,23:12:26.797603 IP 172.28.0.20.52682 > 172.28.0.10.5001: UDP, length 61
32,23:12:26.805673 IP 172.28.0.10.5001 > 172.28.0.20.52682: UDP, length 12
33,23:12:28.518733 IP 172.28.0.20.36565 > 172.28.0.10.5001: UDP, length 61
34,23:12:28.525108 IP 172.28.0.10.5001 > 172.28.0.20.36565: UDP, length 12
35,23:12:30.232034 IP 172.28.0.20.56052 > 172.28.0.10.5001: UDP, length 61
36,23:12:30.237908 IP 172.28.0.10.5001 > 172.28.0.20.56052: UDP, length 12
37,23:12:31.940183 IP 172.28.0.20.53942 > 172.28.0.10.5001: UDP, length 61
38,23:12:31.946510 IP 172.28.0.10.5001 > 172.28.0.20.53942: UDP, length 12
39,23:12:33.658464 IP 172.28.0.20.39025 > 172.28.0.10.5001: UDP, length 61
40,23:12:33.665965 IP 172.28.0.10.5001 > 172.28.0.20.39025: UDP, length 12
41,23:12:35.369338 IP 172.28.0.20.47593 > 172.28.0.10.5001: UDP, length 61
42,23:12:35.374994 IP 172.28.0.10.5001 > 172.28.0.20.47593: UDP, length 12
43,23:12:37.092409 IP 172.28.0.20.45458 > 172.28.0.10.5001: UDP, length 61
44,23:12:37.100546 IP 172.28.0.10.5001 > 172.28.0.20.45458: UDP, length 12
45,23:12:38.817535 IP 172.28.0.20.47088 > 172.28.0.10.5001: UDP, length 61
46,23:12:38.823546 IP 172.28.0.10.5001 > 172.28.0.20.47088: UDP, length 12
47,23:12:40.529357 IP 172.28.0.20.40586 > 172.28.0.10.5001: UDP, length 61
48,23:12:40.535187 IP 172.28.0.10.5001 > 172.28.0.20.40586: UDP, length 12
49,23:12:42.239460 IP 172.28.0.20.44786 > 172.28.0.10.5001: UDP, length 61
50,23:12:42.246082 IP 172.28.0.10.5001 > 172.28.0.20.44786: UDP, length 12
51,23:12:43.952878 IP 172.28.0.20.52941 > 172.28.0.10.5001: UDP, length 61
52,23:12:43.959021 IP 172.28.0.10.5001 > 172.28.0.20.52941: UDP, length 12
53,23:12:45.681380 IP 172.28.0.20.40047 > 172.28.0.10.5001: UDP, length 61
54,23:12:45.687386 IP 172.28.0.10.5001 > 172.28.0.20.40047: UDP, length 12
55,23:12:47.395176 IP 172.28.0.20.42405 > 172.28.0.10.5001: UDP, length 61
56,23:12:47.400852 IP 172.28.0.10.5001 > 172.28.0.20.42405: UDP, length 12
57,23:12:49.104124 IP 172.28.0.20.37052 > 172.28.0.10.5001: UDP, length 61
58,23:12:49.110185 IP 172.28.0.10.5001 > 172.28.0.20.37052: UDP, length 12
59,23:12:50.840605 IP 172.28.0.20.42773 > 172.28.0.10.5001: UDP, length 61
60,23:12:50.846349 IP 172.28.0.10.5001 > 172.28.0.20.42773: UDP, length 12
