1,23:16:16.672280 IP 172.28.0.20.58809 > 172.28.0.10.5001: UDP, length 61
2,23:16:16.698253 IP 172.28.0.10.5001 > 172.28.0.20.58809: UDP, length 12
3,23:16:19.759475 IP 172.28.0.20.50948 > 172.28.0.10.5001: UDP, length 61
4,23:16:19.785279 IP 172.28.0.10.5001 > 172.28.0.20.50948: UDP, length 12
5,23:16:26.275657 IP 172.28.0.20.42665 > 172.28.0.10.5001: UDP, length 61
6,23:16:26.301390 IP 172.28.0.10.5001 > 172.28.0.20.42665: UDP, length 12
7,23:16:29.234007 IP 172.28.0.20.53115 > 172.28.0.10.5001: UDP, length 61
8,23:16:29.259771 IP 172.28.0.10.5001 > 172.28.0.20.53115: UDP, length 12
9,23:16:32.386431 IP 172.28.0.20.46050 > 172.28.0.10.5001: UDP, length 61
10,23:16:32.412217 IP 172.28.0.10.5001 > 172.28.0.20.46050: UDP, length 12
11,23:16:35.667316 IP 172.28.0.20.47491 > 172.28.0.10.5001: UDP, length 61
12,23:16:35.693054 IP 172.28.0.10.5001 > 172.28.0.20.47491: UDP, length 12
13,23:16:49.867533 IP 172.28.0.20.60560 > 172.28.0.10.5001: UDP, length 61
14,23:16:49.895612 IP 172.28.0.10.5001 > 172.28.0.20.60560: UDP, length 12
15,23:16:52.969002 IP 172.28.0.20.39768 > 172.28.0.10.5001: UDP, length 61
16,23:16:52.994759 IP 172.28.0.10.5001 > 172.28.0.20.39768: UDP, length 12
17,23:16:58.713474 IP 172.28.0.20.43956 > 172.28.0.10.5001: UDP, length 61
18,23:16:58.739251 IP 172.28.0.10.5001 > 172.28.0.20.43956: UDP, length 12
19,23:17:01.830270 IP 172.28.0.20.39158 > 172.28.0.10.5001: UDP, length 61
20,23:17:01.856016 IP 172.28.0.10.5001 > 172.28.0.20.39158: UDP, length 12
21,23:17:04.981899 IP 172.28.0.20.44537 > 172.28.0.10.5001: UDP, length 61
22,23:17:05.007715 IP 172.28.0.10.5001 > 172.28.0.20.44537: UDP, length 12
23,23:17:08.019446 IP 172.28.0.20.41073 > 172.28.0.10.5001: UDP, length 61
24,23:17:08.045209 IP 172.28.0.10.5001 > 172.28.0.20.41073: UDP, length 12
25,23:17:22.096950 IP 172.28.0.20.39684 > 172.28.0.10.5001: UDP, length 61
26,23:17:22.125066 IP 172.28.0.10.5001 > 172.28.0.20.39684: UDP, length 12
27,23:17:25.199474 IP 172.28.0.20.52540 > 172.28.0.10.5001: UDP, length 61
28,23:17:25.225316 IP 172.28.0.10.5001 > 172.28.0.20.52540: UDP, length 12
29,23:17:31.532647 IP 172.28.0.20.45357 > 172.28.0.10.5001: UDP, length 61
30,23:17:31.558406 IP 172.28.0.10.5001 > 172.28.0.20.45357: UDP, length 12
31,23:17:35.253609 IP 172.28.0.20.56104 > 172.28.0.10.5001: UDP, length 61
32,23:17:35.281981 IP 172.28.0.10.5001 > 172.28.0.20.56104: UDP, length 12
33,23:17:38.453675 IP 172.28.0.20.45006 > 172.28.0.10.5001: UDP, length 61
34,23:17:38.479423 IP 172.28.0.10.5001 > 172.28.0.20.45006: UDP, length 12
35,23:17:50.518644 IP 172.28.0.20.45362 > 172.28.0.10.5001: UDP, length 61
36,23:17:50.549170 IP 172.28.0.10.5001 > 172.28.0.20.45362: UDP, length 12
37,23:17:55.440261 IP 172.28.0.20.37830 > 172.28.0.10.5001: UDP, length 61
38,23:17:55.466018 IP 172.28.0.10.5001 > 172.28.0.20.37830: UDP, length 12
39,23:18:01.025608 IP 172.28.0.20.55692 > 172.28.0.10.5001: UDP, length 61
40,23:18:01.051437 IP 172.28.0.10.5001 > 172.28.0.20.55692: UDP, length 12
41,23:18:04.121635 IP 172.28.0.20.58465 > 172.28.0.10.5001: UDP, length 61
42,23:18:04.147373 IP 172.28.0.10.5001 > 172.28.0.20.58465: UDP, length 12
43,23:18:07.623987 IP 172.28.0.20.56901 > 172.28.0.10.5001: UDP, length 61
44,23:18:07.649757 IP 172.28.0.10.5001 > 172.28.0.20.56901: UDP, length 12
45,23:18:10.775495 IP 172.28.0.20.38815 > 172.28.0.10.5001: UDP, length 61
46,23:18:10.801778 IP 172.28.0.10.5001 > 172.28.0.20.38815: UDP, length 12
47,23:18:22.848499 IP 172.28.0.20.57967 > 172.28.0.10.5001: UDP, length 61
48,23:18:22.876067 IP 172.28.0.10.5001 > 172.28.0.20.57967: UDP, length 12
49,23:18:26.353664 IP 172.28.0.20.59345 > 172.28.0.10.5001: UDP, length 61
50,23:18:26.379449 IP 172.28.0.10.5001 > 172.28.0.20.59345: UDP, length 12
51,23:18:33.696943 IP 172.28.0.20.39667 > 172.28.0.10.5001: UDP, length 61
52,23:18:33.725136 IP 172.28.0.10.5001 > 172.28.0.20.39667: UDP, length 12
53,23:18:37.596537 IP 172.28.0.20.50043 > 172.28.0.10.5001: UDP, length 61
54,23:18:37.622322 IP 172.28.0.10.5001 > 172.28.0.20.50043: UDP, length 12
55,23:18:40.655098 IP 172.28.0.20.44960 > 172.28.0.10.5001: UDP, length 61
56,23:18:40.680952 IP 172.28.0.10.5001 > 172.28.0.20.44960: UDP, length 12
57,23:18:44.032996 IP 172.28.0.20.39131 > 172.28.0.10.5001: UDP, length 61
58,23:18:44.058700 IP 172.28.0.10.5001 > 172.28.0.20.39131: UDP, length 12
59,23:18:51.979397 IP 172.28.0.20.54134 > 172.28.0.10.5001: UDP, length 61
60,23:18:52.005236 IP 172.28.0.10.5001 > 172.28.0.20.54134: UDP, length 12
